Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Direct_rad_transmittance Dir_norml_PAR_photn_flux Extraterrestrial_spectrm
.6720E+03 .1412E+01 .9048E-01 .9431E+00 .7930E+01 .1497E+01
.6730E+03 .1437E+01 .9156E-01 .9438E+00 .8084E+01 .1523E+01
.6740E+03 .1430E+01 .9056E-01 .9445E+00 .8055E+01 .1514E+01
.6750E+03 .1413E+01 .8897E-01 .9451E+00 .7974E+01 .1495E+01
.6760E+03 .1426E+01 .8925E-01 .9456E+00 .8060E+01 .1508E+01
.6770E+03 .1405E+01 .8738E-01 .9460E+00 .7952E+01 .1485E+01
.6780E+03 .1420E+01 .8777E-01 .9463E+00 .8050E+01 .1501E+01
.6790E+03 .1404E+01 .8624E-01 .9467E+00 .7969E+01 .1483E+01
.6800E+03 .1400E+01 .8548E-01 .9472E+00 .7958E+01 .1478E+01
.6810E+03 .1395E+01 .8467E-01 .9477E+00 .7942E+01 .1472E+01
.6820E+03 .1400E+01 .8445E-01 .9481E+00 .7982E+01 .1477E+01
.6830E+03 .1398E+01 .8382E-01 .9484E+00 .7982E+01 .1474E+01
.6840E+03 .1367E+01 .8142E-01 .9485E+00 .7815E+01 .1441E+01
.6850E+03 .1391E+01 .8238E-01 .9493E+00 .7964E+01 .1465E+01
.6860E+03 .1365E+01 .8030E-01 .9487E+00 .7827E+01 .1439E+01
.6870E+03 .1115E+01 .5354E-01 .7522E+00 .6405E+01 .1483E+01
.6880E+03 .1215E+01 .6276E-01 .8263E+00 .6988E+01 .1471E+01
.6890E+03 .1223E+01 .6295E-01 .8290E+00 .7044E+01 .1475E+01
.6900E+03 .1259E+01 .6607E-01 .8545E+00 .7263E+01 .1474E+01
.6910E+03 .1292E+01 .6925E-01 .8827E+00 .7463E+01 .1464E+01
.6920E+03 .1305E+01 .7101E-01 .9048E+00 .7551E+01 .1443E+01
.6930E+03 .1299E+01 .6990E-01 .8987E+00 .7523E+01 .1445E+01
.6940E+03 .1297E+01 .6911E-01 .8902E+00 .7525E+01 .1457E+01
.6950E+03 .1301E+01 .7020E-01 .9113E+00 .7560E+01 .1428E+01
